Subscription ID,Contracting Party,Subscription Status,Type,Internal,Jira Ref,Initiative Code,Initiative,Contour Identity,Identity Legal Entity Name (O),Identity BIC,Identity LEI,Identity Reg Number,X500-O,X500-OU,X500-L,X500-C,Set-up Date,Hosting Type,Identity Contacts (CSV),Full X500,BNO DB Status,BNO ID,Cordapp Version,CNF Sponsored,Billing Run Result,Events This Month,Total Events,BNMS vs BNO,TBC
1,HSBC Global Services (Hong Kong) Limited,113,Bank,FALSE,HOT-31,,0,HSBC India,The Hongkong and Shanghai Banking Corporation Limited,HSBCINBB,,F00947,The Hongkong and Shanghai Banking Corporation Limited,Global Trade and Receivables Finance Production,Mumbai,IN,29-Jan,Self-Managed,andy.x.c.wang@hsbc.com.cn; bing.qu@hsbc.com; eric.e.miao@hsbc.com; keano.y.c.chan@hsbc.com.hk; sandy.j.peng@hsbc.com.cn; henrique.centieiro@hsbc.com.hk ,"ou=global trade and receivables finance production, o=the hongkong and shanghai banking corporation limited, l=mumbai, c=in",Active,878938163,60100,OK,SUCCESS,0,2,OK,
1,HSBC Global Services (Hong Kong) Limited,113,Bank,FALSE,HELP-3,,0,HSBC Hong Kong,HSBC Global Services (Hong Kong) Limited,HSBCHKHHHKH,2HI3YI5320L3RW6NJ957,263876,The Hongkong and Shanghai Banking Corporation Limited,GTRF Production,Central District,HK,29-Jan,Self-Managed,andy.x.c.wang@hsbc.com.cn; bing.qu@hsbc.com; eric.e.miao@hsbc.com; keano.y.c.chan@hsbc.com.hk; sandy.j.peng@hsbc.com.cn; henrique.centieiro@hsbc.com.hk ,"ou=gtrf production, o=the hongkong and shanghai banking corporation limited, l=central district, c=hk",Active,711592122,60100,OK,SUCCESS,0,2,OK,
2,Standard Chartered Bank (Singapore) Limited,113,Bank,FALSE,HELP-101,,0,Standard Chartered Bank - Node 3,Standard Chartered Bank (Singapore) Limited,SCBLSG22,549300MDYVVHJ8D1DW28,201224747C,Standard Chartered Bank (Singapore) Limited,CIB ITO-CORDA,Singapore,SG,1-Feb,Self-Managed,Balaraman.Kunduvara@sc.com; Himanshu.maggo@sc.com; Lisna.Chia@sc.com; Nikhil.Awasthi@sc.com; Urvesh.Mehta@sc.com; Rajaguru.Raman@sc.com; ,"ou=cib ito-corda, o=standard chartered bank (singapore) limited, l=singapore, c=sg",Active,197542693,60000,OK,SUCCESS,0,0,OK,
3,"Standard Chartered Bank, Bangladesh Branch",113,Bank,FALSE,HELP-31,,0,Standard Chartered Bank Bangladesh Branch Limited,Standard Chartered Bank Bangladesh Branch Limited,SCBLBDDX,,03-077300,Standard Chartered Bank Bangladesh Branch Limited,CIB ITO-CORDA,Dhaka,BD,1-Feb,Self-Managed,Balaraman.Kunduvara@sc.com; Himanshu.maggo@sc.com; Lisna.Chia@sc.com; Nikhil.Awasthi@sc.com; Urvesh.Mehta@sc.com; Rajaguru.Raman@sc.com; ,"ou=cib ito-corda, o=standard chartered bank bangladesh branch limited, l=dhaka, c=bd",Active,460503030,60000,OK,SUCCESS,0,0,OK,
1,HSBC Global Services (Hong Kong) Limited,113,Bank,FALSE,??,,0,HSBC UAE,HSBC Bank Middle East Ltd,BBMEAEAD,549300F99IL9YJDWH369,2199,HSBC Bank Middle East Ltd,GTRF Production,Dubai,AE,30-Jul,Self-Managed,andy.x.c.wang@hsbc.com.cn; bing.qu@hsbc.com; eric.e.miao@hsbc.com; keano.y.c.chan@hsbc.com.hk; sandy.j.peng@hsbc.com.cn; henrique.centieiro@hsbc.com.hk ,"ou=gtrf production, o=hsbc bank middle east ltd, l=dubai, c=ae",Active,479280980,60100,ERROR,SUCCESS,1,1,OK,
1,HSBC Global Services (Hong Kong) Limited,113,Bank,FALSE,HELP-2,,0,HSBC Singapore,The Hongkong and Shanghai Banking Corporation Limited,HSBCSGSG,,S16FC0010A,The Hongkong and Shanghai Banking Corporation Limited,Global Trade and Receivables Finance Production,Singapore,SG,11-Feb,Self-Managed,andy.x.c.wang@hsbc.com.cn; bing.qu@hsbc.com; eric.e.miao@hsbc.com; keano.y.c.chan@hsbc.com.hk; sandy.j.peng@hsbc.com.cn; henrique.centieiro@hsbc.com.hk ,"ou=global trade and receivables finance production, o=the hongkong and shanghai banking corporation limited, l=singapore, c=sg",Active,330856180,60100,OK,SUCCESS,2,4,OK,
1,HSBC Global Services (Hong Kong) Limited,113,Bank,FALSE,HELP-39,,0,HSBC Bangladesh,The Hongkong and Shanghai Banking Corporation Limited,HSBCBDDH,,000002671-0002,The Hongkong and Shanghai Banking Corporation Limited,Global Trade and Receivables Finance Production,Dhaka,BD,26-Feb,Self-Managed,andy.x.c.wang@hsbc.com.cn; bing.qu@hsbc.com; eric.e.miao@hsbc.com; keano.y.c.chan@hsbc.com.hk; sandy.j.peng@hsbc.com.cn; henrique.centieiro@hsbc.com.hk ,"ou=global trade and receivables finance production, o=the hongkong and shanghai banking corporation limited, l=dhaka, c=bd",Active,852857632,60100,OK,SUCCESS,2,2,OK,
1,HSBC Global Services (Hong Kong) Limited,113,Bank,FALSE,HELP-40,,0,HSBC Malaysia,HSBC Bank Malaysia Berhad,HBMBMYKL,P3RPN9OJFCXUPJWB1Q09,198401015221 (127776-V),HSBC Bank Malaysia Berhad,GTRF Production,Kuala Lumpur,MY,30-Jul,Self-Managed,andy.x.c.wang@hsbc.com.cn; bing.qu@hsbc.com; eric.e.miao@hsbc.com; keano.y.c.chan@hsbc.com.hk; sandy.j.peng@hsbc.com.cn; henrique.centieiro@hsbc.com.hk ,"ou=gtrf production, o=hsbc bank malaysia berhad, l=kuala lumpur, c=my",Active,509447106,60100,ERROR,SUCCESS,0,0,OK,
10,PT Bank Permata Tbk,172,Bank,FALSE,HELP-85,,0,PT BANK PERMATA TBK,PT Bank Permata TBK,BBBAIDJAXXX,5493003MGU02RFSRZT53,8.12012E+12,PT Bank Permata TBK,Permata,Jakarta,ID,30-Mar,Self-Managed,andi.saputra@permatabank.co.id; dimas.dwiputra@permatabank.co.id; dwitarsa@permatabank.co.id; geoffrey.laurens@permatabank.co.id; hrprasetyo@permatabank.co.id; rnainggolan@permatabank.co.id; ,"ou=permata, o=pt bank permata tbk, l=jakarta, c=id",Active,769225837,60000,OK,SUCCESS,0,0,OK,
1,HSBC Global Services (Hong Kong) Limited,113,Bank,FALSE,HELP-102,,0,Hang Seng Bank Hong Kong,Hang Seng Bank Limited,HASEHKHH,5493009Z5F07LWZYMK62,149472,Hang Seng Bank Limited,GTRF Production,Central District,HK,8-Apr,Self-Managed,andy.x.c.wang@hsbc.com.cn; bing.qu@hsbc.com; eric.e.miao@hsbc.com; keano.y.c.chan@hsbc.com.hk; sandy.j.peng@hsbc.com.cn; henrique.centieiro@hsbc.com.hk ,"ou=gtrf production, o=hang seng bank limited, l=central district, c=hk",Active,522497260,60100,OK,SUCCESS,1,2,OK,
